Number, Label, Comment, X, Y, Z, X_Toe, Y_Toe, Z_Toe, Diameter, Length, Subdrilling, Stemming, Burden, Spacing, Angle, Azimuth, WaterLevel, DetonatingTime, GlobalId, DesignCharge, InputedCharge, Row_Number, Detonators, Boosters, PathLetter
421, , , 748831.180, 8930547.850, 220.480, 748831.180, 8930547.850, 209.980, 0.140, 10.500, 0.600, 2.300, 0.000, 0.000, 0.0, 0.0, 0.000, -, c06be342-6def-4b3c-bf7f-6fb0cb70b89f, 0.0, 92.500, 0, , , 
423, , , 748836.970, 8930539.270, 220.480, 748836.970, 8930539.270, 211.480, 0.140, 9.000, 0.600, 2.400, 0.000, 0.000, 0.0, 0.0, 3.000, 4071, c564eb50-b7e0-4626-a3ee-3f1fc87ce132, 0.0, 110.000, 0, DVT 15 m :1 ud, Booster 450:1 ud, A
424, , , 748834.490, 8930545.530, 220.480, 748834.490, 8930545.530, 209.980, 0.140, 10.500, 0.600, 3.500, 0.000, 0.000, 0.0, 0.0, 0.000, 4057, 2f248d4b-8ebe-46ec-8d58-02f599a10aa1, 0.0, 141.700, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
425, , , 748832.000, 8930551.800, 220.480, 748832.000, 8930551.800, 209.480, 0.140, 11.000, 0.600, 3.400, 0.000, 0.000, 0.0, 0.0, 6.000, 4031, 708f4825-49d1-44db-8d0e-1e5a27465985, 0.0, 160.000, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
426, , , 748829.520, 8930558.060, 221.470, 748829.520, 8930558.060, 209.770, 0.140, 11.700, 0.600, 3.600, 0.000, 0.000, 0.0, 0.0, 0.000, 4014, efed7fa4-bb7e-45d5-aead-7c4338e66434, 0.0, 160.700, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
427, , , 748827.030, 8930564.330, 221.220, 748827.030, 8930564.330, 212.220, 0.140, 9.000, 0.600, 3.500, 0.000, 0.000, 0.0, 0.0, 0.000, 3991, 5a4553d8-468c-4ab8-a22b-5e66d05ca6cc, 0.0, 85.000, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
428, , , 748829.070, 8930561.440, 221.340, 748829.070, 8930561.440, 211.340, 0.140, 10.000, 0.600, 3.500, 0.000, 0.000, 0.0, 0.0, 0.000, 4026, 1316cd0b-04ea-4f3d-b157-b6f213744080, 0.0, 112.900, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
429, , , 748832.760, 8930555.710, 221.350, 748832.760, 8930555.710, 210.850, 0.140, 10.500, 0.600, 3.500, 0.000, 0.000, 0.0, 0.0, 0.000, 4040, 704867bf-2787-4305-949d-ddd004b18919, 0.0, 119.700, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
430, , , 748834.710, 8930552.680, 220.480, 748834.710, 8930552.680, 210.680, 0.140, 9.800, 0.600, 3.400, 0.000, 0.000, 0.0, 0.0, 0.000, 4075, 249c16d2-7ee3-4b00-90c7-f8048f78ec53, 0.0, 110.900, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
432, , , 748837.800, 8930543.220, 220.480, 748837.800, 8930543.220, 211.480, 0.140, 9.000, 0.600, 2.400, 0.000, 0.000, 0.0, 0.0, 6.000, 4080, 3f746f7c-f616-48a8-b81d-020ebe5b5882, 0.0, 110.600, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
434, , , 748841.050, 8930544.100, 220.480, 748841.050, 8930544.100, 211.480, 0.140, 9.000, 0.600, 3.400, 0.000, 0.000, 0.0, 0.0, 6.000, 4102, d2f9a324-71da-43f6-a5ef-b87c3e665dc8, 0.0, 54.500, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
435, , , 748838.630, 8930547.180, 220.480, 748838.630, 8930547.180, 209.480, 0.140, 11.000, 0.600, 3.500, 0.000, 0.000, 0.0, 0.0, 0.000, 4089, 41b3057c-9169-4e81-a0fe-d3ab0c76f348, 0.0, 147.400, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
1000, , , 748808.647, 8930579.418, 221.019, 748808.647, 8930579.418, 211.019, 0.140, 10.000, 0.600, 4.600, 0.000, 0.000, 0.0, 0.0, 0.000, -, 28079bef-919a-454b-9201-0a2a795059b3, 0.0, 102.000, 0, , , 
1001, , , 748811.749, 8930576.872, 221.146, 748811.749, 8930576.872, 211.146, 0.140, 10.000, 0.600, 5.200, 0.000, 0.000, 0.0, 0.0, 0.000, -, 812b88c1-70fb-410d-a1e7-86d56476adeb, 0.0, 51.000, 0, , , 
1002, , , 748820.948, 8930566.302, 221.373, 748820.948, 8930566.302, 209.873, 0.140, 11.500, 0.600, 3.500, 0.000, 0.000, 0.0, 0.0, 0.000, -, a27998ff-8d53-4304-a93a-991305bffd41, 0.0, 128.000, 0, , , 
